timestamp,telephone_triage,in_house_visit,therapy,swab,ECG,infective_lab_evaluation
2020-04-02,351,112,62,60,999999999,17
2020-04-03,396,139,80,85,10,44
2020-04-04,432,164,97,104,11,64
2020-04-05,465,187,121,123,12,64
2020-04-06,490,203,135,136,14,80
2020-04-07,525,220,150,154,15,100
2020-04-08,573,242,161,171,16,108
2020-04-09,606,261,167,187,17,120
2020-04-10,643,283,179,206,22,147
2020-04-11,677,305,191,226,22,157
2020-04-12,699,321,202,239,23,169
2020-04-13,708,329,207,244,24,169
2020-04-14,715,345,212,260,25,999999999
