timestamp,delta_positive_from_yesterday,town,notes
2020-04-05,6,Medicina,NA
2020-04-05,3,Imola,NA
2020-04-05,1,Castel San Pietro Terme,NA
2020-04-05,1,Mordano,NA
2020-04-05,1,Fuori dal territorio,NA
2020-04-03,8,Imola,NA
2020-04-03,2,Medicina,NA
2020-04-03,2,Castel San Pietro Terme,NA
2020-04-03,2,Dozza,NA
2020-04-03,1,Castel Guelfo di Bologna,NA
2020-04-02,6,Imola,NA
2020-04-02,3,Medicina,NA
2020-04-02,2,Borgo Tossignano,NA
2020-04-02,1,Mordano,NA
2020-04-01,6,Imola,NA
2020-04-01,3,Castel San Pietro Terme,NA
2020-04-01,1,Castel Guelfo di Bologna,NA
2020-04-01,1,Fuori dal circondario,NA
2020-03-31,2,Imola,NA
2020-03-31,2,Castel San Pietro Terme,NA
2020-03-31,1,Medicina,NA
2020-03-31,1,Mordano,NA
2020-03-31,1,Casalfiumanese,NA
2020-03-30,6,Medicina,NA
2020-03-30,4,Imola,NA
2020-03-30,4,Castel San Pietro Terme,NA
2020-03-28,4,Medicina,NA
2020-03-28,4,Imola,NA
2020-03-28,2,Castel San Pietro Terme,NA
2020-03-28,1,Dozza,NA
2020-03-27,3,Imola,NA
2020-03-27,4,Castel San Pietro Terme,NA
2020-03-27,1,Medicina,NA
2020-03-27,1,Mordano,NA
2020-03-26,5,Imola,NA
2020-03-26,4,Medicina,NA
2020-03-26,1,Castel San Pietro Terme,NA
2020-03-26,1,Mordano,NA
2020-03-25,6,Imola,NA
2020-03-25,5,Medicina,NA
2020-03-25,4,Castel San Pietro Terme,NA
2020-03-25,1,Castel Guelfo di Bologna,NA
2020-03-24,3,Medicina,NA
2020-03-24,3,Imola,NA
2020-03-24,1,Castel San Pietro Terme,NA
2020-03-24,4,Fuori dal territorio,NA
2020-03-23,2,Imola,NA
2020-03-23,1,Medicina,NA
2020-03-22,7,Medicina,NA
2020-03-22,4,Imola,NA
2020-03-22,2,Castel San Pietro Terme,NA
2020-03-22,2,Fuori dal territorio,NA
2020-03-21,9,Medicina,NA
2020-03-21,9,Imola,NA
2020-03-21,1,Castel San Pietro Terme,NA
2020-03-20,10,Medicina,NA
2020-03-20,7,Imola,NA
2020-03-20,1,Dozza,NA
2020-03-20,1,Casalfiumanese,NA
2020-03-20,1,Fuori dal territorio,NA
2020-03-19,8,Medicina,NA
2020-03-19,2,Imola,NA
2020-03-19,1,Castel Guelfo di Bologna,NA
2020-03-18,6,Medicina,NA
2020-03-18,4,Imola,NA
2020-03-18,1,Castel San Pietro Terme,NA
2020-03-18,1,Castel Guelfo di Bologna,NA
2020-03-18,1,Casalfiumanese,NA
2020-03-17,6,Medicina,NA
2020-03-17,3,Imola,NA
2020-03-17,1,Borgo Tossignano,NA
2020-03-16,12,Medicina,NA
2020-03-16,5,Imola,NA
2020-03-16,1,Dozza,NA
2020-03-15,8,Medicina,NA
2020-03-15,1,Imola,NA
2020-03-14,14,Medicina,NA
2020-03-14,1,Imola,NA
2020-03-14,1,Dozza,NA
2020-03-13,3,Medicina,NA
2020-03-13,1,Castel San Pietro Terme,NA
2020-03-13,1,Imola,NA
2020-03-12,0,NA,NA
2020-03-11,4,Medicina,NA
2020-03-11,1,Imola,epidemiologic link to Medicina outbreak
2020-03-10,1,Castel San Pietro Terme,NA
2020-03-10,1,Medicina,NA
