idx,freq
0,0
1,0
2,0.0668052
3,0.113503
4,0.16032
5,0.16032
6,0.201826
7,0.254635
8,0.316171
9,0.353787
10,0.396316
11,0.396316
12,0.396316
13,0.396316
14,0.473526
15,0.523202
16,0.548948
17,0.581408
18,0.581408
19,0.602743
20,0.602743
21,0.655125
22,0.708899
23,0.776634
24,0.776634
25,0.776634
26,0.817605
27,0.877491
28,0.877491
29,0.923197
30,0.923197
31,0.923197
32,0.983913
33,1.03686
34,1.03686
35,1.09821
36,1.19159
37,1.19159
38,1.23121
39,1.23121
40,1.23121
41,1.28407
42,1.3099
43,1.38215
44,1.38215
45,1.44893
46,1.44893
47,1.4822
48,1.4822
49,1.53701
50,1.53701
51,1.59382
52,1.63259
53,1.64198
54,1.68029
55,1.73995
56,1.78416
57,1.84646
58,1.8764
59,1.90991
60,1.95744
61,2.01929
62,2.07234
63,2.07234
64,2.10215
65,2.10215
66,2.17067
67,2.17067
68,2.17067
69,2.22729
70,2.22729
71,2.30778
72,2.35955
73,2.36467
74,2.43005
75,2.49709
76,2.56371
77,2.63323
78,2.67926
79,2.67926
80,2.67926
81,2.67926
82,2.67926
83,2.75972
84,2.75972
85,2.82649
86,2.8824
87,2.8824
88,2.8824
89,2.93809
90,2.99593
91,2.99593
92,3.04178
93,3.07394
94,3.12488
95,3.16373
96,3.16373
97,3.20233
98,3.25102
99,3.29841
100,3.33433
101,3.33433
102,3.33433
103,3.33433
104,3.37604
105,3.4159
106,3.47596
107,3.52057
108,3.57361
109,3.57361
110,3.61299
111,3.61299
112,3.67973
113,3.67973
114,3.67973
115,3.67973
116,3.67973
117,3.74428
118,3.74428
119,3.81065
120,3.86153
121,3.86153
122,3.86153
123,3.92115
124,3.9505
125,3.9505
126,3.98426
127,4.06233
128,4.06233
129,4.06233
130,4.06233
131,4.1096
132,4.14983
133,4.14983
134,4.20475
135,4.20475
136,4.20475
137,4.25411
138,4.25411
139,4.32624
140,4.32624
141,4.37586
142,4.42892
143,4.49317
144,4.55257
145,4.55257
146,4.55542
147,4.60269
148,4.60269
149,4.60269
150,4.60269
151,4.68638
152,4.68638
153,4.73693
154,4.8061
155,4.84906
156,4.89144
157,4.89144
158,4.89144
159,4.89162
160,4.93228
161,4.93228
162,4.97974
163,5.03197
164,5.03197
165,5.03197
166,5.03197
167,5.03197
168,5.09908
169,5.16627
170,5.16627
171,5.16627
172,5.16627
173,5.16627
174,5.16627
175,5.23987
176,5.30472
177,5.34814
178,5.34814
179,5.34814
180,5.34814
181,5.34814
182,5.34814
183,5.34814
184,5.42621
185,5.47469
186,5.47469
187,5.47469
188,5.53241
189,5.58004
190,5.64028
191,5.64028
192,5.69328
193,5.75475
194,5.8041
195,5.8041
196,5.8382
197,5.84106
198,5.89544
199,5.89544
200,5.96458
201,6.0247
202,6.0247
203,6.02667
204,6.08562
205,6.08968
206,6.08968
207,6.14448
208,6.14448
209,6.17302
210,6.17302
211,6.23121
212,6.27894
213,6.35166
214,6.43952
215,6.45265
216,6.49838
217,6.55965
218,6.55965
219,6.55965
220,6.60705
221,6.66228
222,6.73839
223,6.73839
224,6.73839
225,6.73839
226,6.73839
227,6.78283
228,6.84847
229,6.90357
230,6.95495
231,6.95495
232,6.95495
233,6.9915
234,7.03308
235,7.03308
236,7.03308
237,7.03308
238,7.03308
239,7.03308
240,7.07778
241,7.14298
242,7.14298
243,7.19501
244,7.19501
245,7.2422
246,7.2422
247,7.3028
248,7.34847
249,7.34847
250,7.34847
251,7.34847
252,7.39811
253,7.39811
254,7.43713
255,7.43713
256,7.49905
257,7.54042
258,7.54042
259,7.57956
260,7.64159
261,7.68746
262,7.68746
263,7.68746
264,7.75733
265,7.75733
266,7.75733
267,7.75733
268,7.75733
269,7.75733
270,7.75733
271,7.75733
272,7.80193
273,7.80193
274,7.80193
275,7.80193
276,7.80193
277,7.83389
278,7.87922
279,7.87922
280,7.87922
281,7.92427
282,7.97768
283,7.97768
284,7.97768
285,7.97768
286,7.97768
287,8.02722
288,8.02722
289,8.07201
290,8.111
291,8.111
292,8.111
293,8.16848
294,8.16848
295,8.16848
296,8.16848
297,8.22563
298,8.28613
299,8.28613
300,8.28613
301,8.28613
302,8.28613
303,8.34893
304,8.42234
