indice iniziale,nome,gruppo,sottogruppo,formula,riconoscimento,big ten,serve il mnemonico?,nome,mnemonico per formula,idiocromatici
1,quarzo,silicati,silice,1,1,1,0,quarzo,per i silicati provare di vedere se il modo di legarsi dei tetraedri (SiO4)4- può aiutare,
2,ortoclasio,silicati,feldspati,1,1,1,1,ortoclasio,,
3,albite,silicati,feldspati,1,0,1,1,albite,,
4,anortite,silicati,feldspati,1,0,1,1,anortite,,
5,muscovite,silicati,miche,1,1,1,1,muscovite,,
6,biotite,silicati,miche,1,1,1,1,biotite,,
7,orneblenda,silicati,anfiboli,1,1,1,1,orneblenda,,
8,augite,silicati,pirosseno,1,1,1,1,augite,,
9,forsterite,silicati,olivine,1,1,1,1,forsterite,"Forst è la birra, la birra ha sali minerali di cui il Magnesio è uno dei migliori per la stanchezza delle gambe.",
10,fayalite,silicati,olivine,1,1,1,1,fayalite,"Fe-yalite, il nome ricorda il ferro",
11,calcite,carbonato,,1,1,1,0,calcite,,
12,dolomite,carbonato,,1,1,1,1,dolomite,"È un carbonato doppio simile alla calcite, quindi ha il calcio e in più il Magnesio (che è un sale minerale contenuto nella birra Forst che fanno nelle Dolomiti)",
13,plagioclasi,silicati,?,1,0,0,1,plagioclasi,,
14,berillo,silicati,?,0,1,0,,berillo,,
15,serpentino,silicati,?,0,0,0,,serpentino,,
16,caolinite,silicati,?,0,0,0,,caolinite,,
17,talco,silicati,?,0,0,0,,talco,,
18,microclino,silicati,?,0,1,0,,microclino,,
19,granati,silicati,?,0,1,0,,granati,,
20,cianite,silicati,?,0,1,0,,cianite,,
21,leucite,silicati,?,0,1,0,,leucite,,
22,tormalina,silicati,?,0,1,0,,tormalina,,
23,ematite,ossidi,,1,1,0,1,ematite,Sangue 2 e 3,rosso (polvere!)
24,limonite,ossidi,,0,1,0,,limonite,,
25,magnetite,ossidi,,1,1,0,1,magnetite,Uno in più del sangue,
26,corindone,ossidi,,1,1,0,1,corindone,Sangue di alluminio,
27,cromite,ossidi,,1,0,0,1,cromite,,
28,malachite,carbonato,,0,1,0,,malachite,,verde
29,azzurrite,carbonato,,0,1,0,,azzurrite,,azzurro
30,siderite,carbonato,,1,1,0,1,siderite,Carbonato di ferro,
31,rodocrosite,carbonato,,1,1,0,1,rodocrosite,Carbonato del rosa Manganese,rosa
32,gesso,solfati,,1,1,0,1,gesso,,
33,barite,solfati,,1,1,0,1,barite,,
34,apatite,fosfati,,1,1,0,1,apatite,,
35,pirite,solfuri,,1,1,0,1,pirite,,
36,galena,solfuri,,1,1,0,1,galena,,
37,cinabro,solfuri,,1,1,0,1,cinabro,,rosso
38,blenda,solfuri,,1,1,0,1,blenda,,
39,calcopirite,solfuri,,1,1,0,1,calcopirite,,
40,antimonite,solfuri,,1,1,0,1,antimonite,,
41,salgemma,alogenuri,,1,1,0,0,salgemma,,
42,fluorite,alogenuri,,1,1,0,1,fluorite,,
43,rame,elementi nativi,,1,1,0,0,rame,,
44,oro,elementi nativi,,1,1,0,0,oro,,
45,zolfo,elementi nativi,,1,1,0,0,zolfo,,
46,grafite,elementi nativi,,1,1,0,0,grafite,,
47,platino,elementi nativi,,1,1,0,0,platino,,
48,mercurio,elementi nativi,,1,1,0,0,mercurio,,
49,ilmenite,ossidi,,0,1,0,,ilmenite,,
