Arpae-SIMC

Finale Emilia
Inizio validità (UTC),Fine validità (UTC),Pressione atmosferica istantanea al livello della stazione a 2 m dal suolo (PA)
2022-01-14 23:00:00+00:00,2022-01-14 23:00:00+00:00,102530.0
2022-01-15 00:00:00+00:00,2022-01-15 00:00:00+00:00,102500.0
2022-01-15 01:00:00+00:00,2022-01-15 01:00:00+00:00,102450.0
2022-01-15 02:00:00+00:00,2022-01-15 02:00:00+00:00,102400.0
2022-01-15 03:00:00+00:00,2022-01-15 03:00:00+00:00,102310.0
2022-01-15 04:00:00+00:00,2022-01-15 04:00:00+00:00,102330.0
2022-01-15 05:00:00+00:00,2022-01-15 05:00:00+00:00,102340.0
2022-01-15 06:00:00+00:00,2022-01-15 06:00:00+00:00,102380.0
2022-01-15 07:00:00+00:00,2022-01-15 07:00:00+00:00,102410.0
2022-01-15 08:00:00+00:00,2022-01-15 08:00:00+00:00,102450.0
2022-01-15 09:00:00+00:00,2022-01-15 09:00:00+00:00,102490.0
2022-01-15 10:00:00+00:00,2022-01-15 10:00:00+00:00,102490.0
2022-01-15 11:00:00+00:00,2022-01-15 11:00:00+00:00,102450.0
2022-01-15 12:00:00+00:00,2022-01-15 12:00:00+00:00,102390.0
2022-01-15 13:00:00+00:00,2022-01-15 13:00:00+00:00,102340.0
2022-01-15 14:00:00+00:00,2022-01-15 14:00:00+00:00,102300.0
2022-01-15 15:00:00+00:00,2022-01-15 15:00:00+00:00,102290.0
2022-01-15 16:00:00+00:00,2022-01-15 16:00:00+00:00,102300.0
2022-01-15 17:00:00+00:00,2022-01-15 17:00:00+00:00,102310.0
2022-01-15 18:00:00+00:00,2022-01-15 18:00:00+00:00,102320.0
2022-01-15 19:00:00+00:00,2022-01-15 19:00:00+00:00,102360.0
2022-01-15 20:00:00+00:00,2022-01-15 20:00:00+00:00,102500.0
2022-01-15 21:00:00+00:00,2022-01-15 21:00:00+00:00,102390.0
2022-01-15 22:00:00+00:00,2022-01-15 22:00:00+00:00,102420.0
2022-01-15 23:00:00+00:00,2022-01-15 23:00:00+00:00,102440.0
2022-01-16 00:00:00+00:00,2022-01-16 00:00:00+00:00,102410.0

Martorano
Inizio validità (UTC),Fine validità (UTC),Pressione atmosferica istantanea al livello della stazione a 2 m dal suolo (PA)
2022-01-14 23:00:00+00:00,2022-01-14 23:00:00+00:00,102390.0
2022-01-15 00:00:00+00:00,2022-01-15 00:00:00+00:00,102380.0
2022-01-15 01:00:00+00:00,2022-01-15 01:00:00+00:00,102320.0
2022-01-15 02:00:00+00:00,2022-01-15 02:00:00+00:00,102240.0
2022-01-15 03:00:00+00:00,2022-01-15 03:00:00+00:00,102150.0
2022-01-15 04:00:00+00:00,2022-01-15 04:00:00+00:00,102190.0
2022-01-15 05:00:00+00:00,2022-01-15 05:00:00+00:00,102250.0
2022-01-15 06:00:00+00:00,2022-01-15 06:00:00+00:00,102260.0
2022-01-15 07:00:00+00:00,2022-01-15 07:00:00+00:00,102290.0
2022-01-15 08:00:00+00:00,2022-01-15 08:00:00+00:00,102320.0
2022-01-15 09:00:00+00:00,2022-01-15 09:00:00+00:00,102310.0
2022-01-15 10:00:00+00:00,2022-01-15 10:00:00+00:00,102330.0
2022-01-15 11:00:00+00:00,2022-01-15 11:00:00+00:00,102280.0
2022-01-15 12:00:00+00:00,2022-01-15 12:00:00+00:00,102230.0
2022-01-15 13:00:00+00:00,2022-01-15 13:00:00+00:00,102190.0
2022-01-15 14:00:00+00:00,2022-01-15 14:00:00+00:00,102180.0
2022-01-15 15:00:00+00:00,2022-01-15 15:00:00+00:00,102170.0
2022-01-15 16:00:00+00:00,2022-01-15 16:00:00+00:00,102180.0
2022-01-15 17:00:00+00:00,2022-01-15 17:00:00+00:00,102180.0
2022-01-15 18:00:00+00:00,2022-01-15 18:00:00+00:00,102180.0
2022-01-15 19:00:00+00:00,2022-01-15 19:00:00+00:00,102180.0
2022-01-15 20:00:00+00:00,2022-01-15 20:00:00+00:00,102290.0
2022-01-15 21:00:00+00:00,2022-01-15 21:00:00+00:00,102230.0
2022-01-15 22:00:00+00:00,2022-01-15 22:00:00+00:00,102230.0
2022-01-15 23:00:00+00:00,2022-01-15 23:00:00+00:00,102270.0
2022-01-16 00:00:00+00:00,2022-01-16 00:00:00+00:00,102250.0

S. Pietro Capofiume
Inizio validità (UTC),Fine validità (UTC),Pressione atmosferica istantanea al livello della stazione a 2 m dal suolo (PA)
2022-01-14 23:00:00+00:00,2022-01-14 23:00:00+00:00,102570.0
2022-01-14 23:15:00+00:00,2022-01-14 23:15:00+00:00,102570.0
2022-01-14 23:30:00+00:00,2022-01-14 23:30:00+00:00,102560.0
2022-01-14 23:45:00+00:00,2022-01-14 23:45:00+00:00,102540.0
2022-01-15 00:00:00+00:00,2022-01-15 00:00:00+00:00,102530.0
2022-01-15 00:15:00+00:00,2022-01-15 00:15:00+00:00,102520.0
2022-01-15 00:30:00+00:00,2022-01-15 00:30:00+00:00,102510.0
2022-01-15 00:45:00+00:00,2022-01-15 00:45:00+00:00,102480.0
2022-01-15 01:00:00+00:00,2022-01-15 01:00:00+00:00,102460.0
2022-01-15 01:15:00+00:00,2022-01-15 01:15:00+00:00,102470.0
2022-01-15 01:30:00+00:00,2022-01-15 01:30:00+00:00,102450.0
2022-01-15 01:45:00+00:00,2022-01-15 01:45:00+00:00,102440.0
2022-01-15 02:00:00+00:00,2022-01-15 02:00:00+00:00,102410.0
2022-01-15 02:15:00+00:00,2022-01-15 02:15:00+00:00,102390.0
2022-01-15 02:30:00+00:00,2022-01-15 02:30:00+00:00,102360.0
2022-01-15 02:45:00+00:00,2022-01-15 02:45:00+00:00,102340.0
2022-01-15 03:00:00+00:00,2022-01-15 03:00:00+00:00,102310.0
2022-01-15 03:15:00+00:00,2022-01-15 03:15:00+00:00,102310.0
2022-01-15 03:30:00+00:00,2022-01-15 03:30:00+00:00,102330.0
2022-01-15 03:45:00+00:00,2022-01-15 03:45:00+00:00,102350.0
2022-01-15 04:00:00+00:00,2022-01-15 04:00:00+00:00,102360.0
2022-01-15 04:15:00+00:00,2022-01-15 04:15:00+00:00,102370.0
2022-01-15 04:30:00+00:00,2022-01-15 04:30:00+00:00,102370.0
2022-01-15 04:45:00+00:00,2022-01-15 04:45:00+00:00,102380.0
2022-01-15 05:00:00+00:00,2022-01-15 05:00:00+00:00,102380.0
2022-01-15 05:15:00+00:00,2022-01-15 05:15:00+00:00,102390.0
2022-01-15 05:30:00+00:00,2022-01-15 05:30:00+00:00,102390.0
2022-01-15 05:45:00+00:00,2022-01-15 05:45:00+00:00,102400.0
2022-01-15 06:00:00+00:00,2022-01-15 06:00:00+00:00,102400.0
2022-01-15 06:15:00+00:00,2022-01-15 06:15:00+00:00,102390.0
2022-01-15 06:30:00+00:00,2022-01-15 06:30:00+00:00,102400.0
2022-01-15 06:45:00+00:00,2022-01-15 06:45:00+00:00,102430.0
2022-01-15 07:00:00+00:00,2022-01-15 07:00:00+00:00,102440.0
2022-01-15 07:15:00+00:00,2022-01-15 07:15:00+00:00,102460.0
